Order ID,Order Date,Region,Segment,Category,Sub-Category,Product Name,Ship Date,Ship Mode,Profit,Quantity,Sales
CA-2020-152156,11/8/2020,South,Consumer,Furniture,Bookcases,Bush Somerset Collection Bookcase,11/11/2020,Second Class,41.9136,2,261.96
CA-2020-152156,11/8/2020,South,Consumer,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",11/11/2020,Second Class,219.582,3,731.94
CA-2020-138688,6/12/2020,West,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,6/16/2020,Second Class,6.8714,2,14.62
US-2019-108966,10/11/2019,South,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,10/18/2019,Standard Class,-383.031,5,957.5775
US-2019-108966,10/11/2019,South,Consumer,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,10/18/2019,Standard Class,2.5164,2,22.368
CA-2018-115812,6/9/2018,West,Consumer,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6/14/2018,Standard Class,14.1694,7,48.86
CA-2018-115812,6/9/2018,West,Consumer,Office Supplies,Art,Newell 322,6/14/2018,Standard Class,1.9656,4,7.28
CA-2018-115812,6/9/2018,West,Consumer,Technology,Phones,Mitel 5320 IP Phone VoIP phone,6/14/2018,Standard Class,90.7152,6,907.152
CA-2018-115812,6/9/2018,West,Consumer,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,6/14/2018,Standard Class,5.7825,3,18.504
CA-2018-115812,6/9/2018,West,Consumer,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,6/14/2018,Standard Class,34.47,5,114.9
CA-2018-115812,6/9/2018,West,Consumer,Furniture,Tables,Chromcraft Rectangular Conference Tables,6/14/2018,Standard Class,85.3092,9,1706.184
CA-2018-115812,6/9/2018,West,Consumer,Technology,Phones,Konftel 250 Conference phone - Charcoal black,6/14/2018,Standard Class,68.3568,4,911.424
CA-2021-114412,4/15/2021,South,Consumer,Office Supplies,Paper,Xerox 1967,4/20/2021,Standard Class,5.4432,3,15.552
CA-2020-161389,12/5/2020,West,Consumer,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,12/10/2020,Standard Class,132.5922,3,407.976
US-2019-118983,11/22/2019,Central,Home Office,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",11/26/2019,Standard Class,-123.858,5,68.81
US-2019-118983,11/22/2019,Central,Home Office,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,11/26/2019,Standard Class,-3.816,3,2.544
CA-2018-105893,11/11/2018,Central,Consumer,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",11/18/2018,Standard Class,13.3176,6,665.88
CA-2018-167164,5/13/2018,West,Consumer,Office Supplies,Storage,Fellowes Super Stor/Drawer,5/15/2018,Second Class,9.99,2,55.5
CA-2018-143336,8/27/2018,West,Consumer,Office Supplies,Art,Newell 341,9/1/2018,Second Class,2.4824,2,8.56
CA-2018-143336,8/27/2018,West,Consumer,Technology,Phones,Cisco SPA 501G IP Phone,9/1/2018,Second Class,16.011,3,213.48
CA-2018-143336,8/27/2018,West,Consumer,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",9/1/2018,Second Class,7.384,4,22.72
CA-2020-137330,12/9/2020,Central,Corporate,Office Supplies,Art,Newell 318,12/13/2020,Standard Class,5.0596,7,19.46
CA-2020-137330,12/9/2020,Central,Corporate,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",12/13/2020,Standard Class,15.6884,7,60.34
US-2021-156909,7/16/2021,East,Consumer,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",7/18/2021,Second Class,-1.0196,2,71.372
CA-2019-106320,9/25/2019,West,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,9/30/2019,Standard Class,240.2649,3,1044.63
CA-2020-121755,1/16/2020,West,Consumer,Office Supplies,Binders,Wilson Jones Active Use Binders,1/20/2020,Second Class,4.2224,2,11.648
CA-2020-121755,1/16/2020,West,Consumer,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,1/20/2020,Second Class,11.7741,3,90.57
US-2019-150630,9/17/2019,East,Consumer,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",9/21/2019,Standard Class,-1665.0522,7,3083.43
US-2019-150630,9/17/2019,East,Consumer,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9/21/2019,Standard Class,-7.0532,2,9.618
US-2019-150630,9/17/2019,East,Consumer,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",9/21/2019,Standard Class,15.525,3,124.2
US-2019-150630,9/17/2019,East,Consumer,Office Supplies,Envelopes,Poly String Tie Envelopes,9/21/2019,Standard Class,1.1016,2,3.264
US-2019-150630,9/17/2019,East,Consumer,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",9/21/2019,Standard Class,9.7092,6,86.304
US-2019-150630,9/17/2019,East,Consumer,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",9/21/2019,Standard Class,-5.715,6,6.858
US-2019-150630,9/17/2019,East,Consumer,Office Supplies,Art,Lumber Crayons,9/21/2019,Standard Class,3.546,2,15.76
CA-2021-107727,10/19/2021,Central,Home Office,Office Supplies,Paper,Easy-staple paper,10/23/2021,Second Class,9.9468,3,29.472
CA-2020-117590,12/8/2020,Central,Corporate,Technology,Phones,GE 30524EE4,12/10/2020,First Class,123.4737,7,1097.544
CA-2020-117590,12/8/2020,Central,Corporate,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",12/10/2020,First Class,-147.963,5,190.92
CA-2019-117415,12/27/2019,Central,Home Office,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",12/31/2019,Standard Class,35.415,9,113.328
CA-2019-117415,12/27/2019,Central,Home Office,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",12/31/2019,Standard Class,-46.9764,3,532.3992
CA-2019-117415,12/27/2019,Central,Home Office,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",12/31/2019,Standard Class,-15.147,3,212.058
CA-2019-117415,12/27/2019,Central,Home Office,Technology,Phones,Plantronics HL10 Handset Lifter,12/31/2019,Standard Class,41.7564,4,371.168
CA-2021-120999,9/10/2021,Central,Corporate,Technology,Phones,Panasonic Kx-TS550,9/15/2021,Standard Class,16.5564,4,147.168
CA-2020-101343,7/17/2020,West,Corporate,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",7/22/2020,Standard Class,3.894,2,77.88
CA-2021-139619,9/19/2021,South,Corporate,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",9/23/2021,Standard Class,9.5616,2,95.616
CA-2020-118255,3/11/2020,Central,Corporate,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",3/13/2020,First Class,19.7714,2,45.98
CA-2020-118255,3/11/2020,Central,Corporate,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,3/13/2020,First Class,8.2062,2,17.46
